id,llm_correct,assessor_correct
11828,0,0.23
5343,1,0.5
5097,1,0.45
8307,1,0.0
6112,0,0.26
340,0,0.21
10684,0,0.02
5821,1,0.58
440,1,0.3
2481,0,0.15
7320,1,0.28
8979,1,0.36
9540,1,0.57
5015,1,0.09
7062,0,0.17
6695,1,0.41
729,1,0.01
3475,1,0.26
2497,1,0.33
7052,1,0.42
5205,1,0.34
2865,1,0.37
2742,1,0.25
4966,1,0.2
4253,1,0.15
9783,0,0.37
489,1,0.25
3689,0,0.09
8758,1,0.12
6788,1,0.8
10367,1,0.28
7293,1,0.21
7069,1,0.34
1441,0,0.18
9127,1,0.44
6157,0,0.1
6266,0,0.24
7425,1,0.29
10975,1,0.25
8653,0,0.6
9246,1,0.42
8173,1,0.26
9223,1,0.31
6459,1,0.46
555,1,0.53
8245,1,0.41
2592,1,0.63
6887,0,0.18
10087,1,0.2
6941,1,0.25
4642,1,0.55
1932,0,0.5
3095,1,0.24
8208,1,0.31
11424,0,0.05
4325,1,0.0
8047,1,0.39
8361,0,0.28
9313,1,0.16
7769,1,0.38
9129,1,0.36
10457,0,0.04
3807,1,0.49
9394,0,0.08
11122,0,0.44
1147,1,0.45
5802,1,0.17
8179,1,0.34
4866,1,0.4
1713,0,0.51
257,1,0.33
11230,1,0.24
10536,1,0.79
3340,1,0.26
6378,1,0.0
4646,1,0.25
6560,1,0.51
4157,0,0.16
1895,0,0.12
7068,1,0.2
2849,1,0.48
10769,1,0.34
6043,1,0.22
1311,1,0.25
8267,1,0.3
9395,0,0.25
7750,0,0.46
1106,0,0.33
11128,0,0.39
11209,1,0.23
6443,0,0.5
6942,1,0.46
8008,1,0.24
134,1,0.36
574,1,0.1
6389,1,0.22
8190,1,0.02
10406,0,0.26
4501,1,0.16
7339,1,0.39
2480,1,0.41
4904,0,0.08
7956,1,0.48
315,1,0.0
6536,1,0.53
10242,1,0.44
1326,0,0.43
7445,1,0.39
9318,1,0.32
10289,1,0.36
3767,1,0.32
40,1,0.09
7381,0,0.46
5339,1,0.38
7246,1,0.26
2562,1,0.59
3831,0,1.0
5374,0,0.21
8160,1,0.26
6423,1,0.42
5060,1,0.54
9990,0,1.0
11743,1,0.33
393,1,0.33
659,1,0.3
167,1,0.45
6456,1,0.24
3025,1,0.37
5272,1,0.3
1104,1,0.66
10937,0,0.2
2555,1,0.27
4486,1,0.17
10128,1,0.28
3059,1,0.31
7199,1,0.16
5535,1,0.12
77,1,0.31
8268,1,0.21
8858,1,0.45
1897,1,0.41
3435,1,0.23
2198,1,0.38
9375,1,0.33
7640,1,0.35
10733,1,0.31
10790,1,0.45
3638,1,0.09
11090,1,0.32
1691,1,0.34
4206,0,0.32
1777,0,0.37
3941,1,0.0
10102,0,0.32
1790,1,0.51
5130,1,0.68
3530,1,0.38
10196,1,0.23
742,1,0.0
8454,1,0.0
7034,1,0.7
6535,1,0.44
7111,0,0.25
3292,1,0.3
11781,1,0.0
11858,0,0.06
7878,1,0.49
9617,1,0.45
3977,0,0.36
9773,1,0.2
9269,0,0.32
3515,0,1.0
2968,1,0.29
6904,1,0.35
969,1,0.24
1482,0,0.1
2250,1,0.37
9505,1,0.0
9464,1,0.33
4746,1,0.09
8794,1,0.48
11472,1,0.21
10876,0,0.06
2243,0,0.58
9050,0,0.09
6649,1,0.4
6965,1,0.53
9316,1,0.21
3228,1,0.36
7004,0,0.27
2680,1,0.32
5098,1,0.76
1793,1,0.37
5847,1,0.24
10190,1,0.07
7630,1,0.2
10745,1,0.32
3988,1,0.4
8286,0,0.12
5459,1,0.29
2262,0,1.0
11851,1,0.27
2273,1,0.49
6736,1,0.25
6652,1,0.29
3344,1,0.65
8985,1,0.51
688,1,0.39
4454,1,0.0
9383,0,0.32
9706,1,0.37
4259,1,0.18
4444,1,0.04
4624,1,0.34
6082,1,0.15
9905,1,0.0
3615,1,0.46
514,1,0.19
6862,1,0.32
10908,1,0.28
613,1,0.64
4333,0,0.48
10852,1,0.22
8825,1,0.45
4723,0,0.21
727,1,0.2
10097,1,0.5
10310,1,0.49
11952,0,0.21
1657,0,1.0
8499,1,0.25
4137,1,0.37
4295,0,0.08
6221,0,0.26
11242,1,0.18
1513,0,0.39
2324,1,0.6
7053,1,0.12
6057,1,0.49
4977,1,0.1
5968,1,0.46
10259,1,0.19
3147,0,0.14
4123,1,0.47
10532,1,0.69
5132,1,0.32
6126,1,0.25
6097,0,0.29
11187,1,0.12
666,1,0.27
1452,0,0.87
137,1,0.19
11278,1,0.41
4521,1,0.0
2337,1,0.78
9928,1,0.43
6393,1,0.33
6958,0,0.2
3211,1,0.32
10292,1,0.53
11688,0,0.14
9059,1,0.39
3905,1,0.02
6534,1,0.26
3787,1,0.2
491,1,0.0
7498,1,0.47
7369,1,0.18
8713,1,0.3
1475,0,0.32
8338,1,0.17
6110,0,0.23
8215,1,0.22
11386,1,0.44
5977,1,0.37
4634,0,0.42
11479,0,0.57
2993,1,0.37
9443,1,0.52
10794,1,0.29
10066,0,0.52
2654,0,0.11
9151,1,0.21
9666,0,1.0
10822,0,0.09
6023,0,0.13
481,1,0.18
9274,1,0.08
6376,1,0.0
11682,1,0.39
4562,1,0.41
8897,0,0.24
771,1,0.17
7542,1,0.33
11993,0,0.28
11756,1,0.25
7792,1,0.08
7269,0,0.01
2970,1,0.18
663,1,0.34
145,1,0.62
915,1,0.52
5578,1,0.33
2419,1,0.34
3948,1,0.26
7642,1,0.19
8135,1,0.38
4984,1,0.54
1178,1,0.42
5319,1,0.35
9193,0,0.13
9271,1,0.42
2584,0,0.02
11310,0,1.0
2593,0,0.04
3262,1,0.31
11945,0,0.57
9068,1,0.48
8842,1,0.29
10816,1,0.02
238,1,0.44
8262,1,0.58
11965,0,0.27
1448,1,0.19
9287,1,0.5
6152,1,0.0
9600,1,0.19
3569,0,0.92
3174,1,0.36
1873,1,0.22
8562,1,0.41
10725,0,0.08
6706,1,0.74
11595,1,0.33
6566,0,0.19
4433,1,0.0
5537,1,0.4
11183,0,0.11
2022,1,0.0
3891,1,0.3
11546,1,0.0
6428,1,0.29
11481,0,0.19
95,0,0.08
2146,1,0.32
371,1,0.19
8211,1,0.26
6745,1,0.46
8727,0,0.08
11323,0,0.48
1397,1,0.35
4190,1,0.28
5382,1,0.11
6424,1,0.38
7049,1,0.59
5836,0,0.18
407,1,0.18
11083,1,0.46
3467,1,0.35
6130,0,0.43
373,1,0.2
510,1,0.36
7732,1,0.13
3973,1,0.3
1285,0,0.52
11045,0,0.2
9732,1,0.58
1435,0,0.71
10685,1,0.44
3148,1,0.44
2432,1,0.56
4579,1,0.26
5659,1,0.16
452,1,0.26
8996,1,0.04
8921,1,0.45
6258,1,0.4
1185,1,0.21
7462,1,0.26
6779,1,0.17
4636,1,0.0
9022,1,0.28
8905,1,0.47
11070,1,0.2
11219,1,0.17
9676,1,0.59
980,0,0.37
7305,1,0.42
6395,1,0.09
7017,1,0.0
979,1,0.34
9717,0,0.11
11228,1,0.39
2137,1,0.26
3396,1,0.32
11989,0,1.0
9411,0,0.12
8709,1,0.34
2312,1,0.29
7530,1,0.65
5892,0,0.39
3522,0,0.28
7230,1,0.36
328,0,0.27
11161,1,0.7
3499,1,0.0
8329,1,0.33
6951,0,0.1
445,1,0.33
1854,0,0.18
4049,0,0.34
7447,1,0.53
8950,1,0.17
4759,1,0.48
8315,1,0.23
9848,0,0.27
4110,0,0.39
5337,1,0.5
2665,1,0.74
9190,0,0.12
6075,1,0.32
1555,0,0.25
5483,1,0.47
8951,1,0.0
4396,1,0.22
1876,1,0.18
1477,1,0.27
189,1,0.0
8820,0,1.0
39,0,0.31
8938,1,0.39
11608,1,0.22
6107,0,0.09
4379,0,0.28
9900,1,0.5
3590,1,0.14
695,1,0.18
9250,0,0.28
8132,0,0.09
6493,1,0.0
7734,1,0.15
9995,1,0.27
11587,0,0.2
6709,0,0.01
4972,1,0.6
9726,1,0.27
8525,1,0.4
7617,1,0.2
4395,1,0.26
470,1,0.12
11871,1,0.32
11459,0,0.03
4842,0,1.0
584,1,0.27
6309,0,0.73
2111,1,0.48
1135,1,0.4
9359,1,0.36
9978,1,0.24
1806,0,0.19
4199,0,0.1
6147,1,0.07
2166,1,0.62
1045,1,0.59
6688,1,0.58
764,0,0.4
7753,1,0.28
7706,1,0.29
10505,1,0.0
2982,1,0.45
1950,1,0.39
10618,1,0.15
3294,1,0.2
7870,1,0.52
1754,1,0.27
6686,1,0.19
6760,1,0.43
7059,0,0.23
6528,1,0.22
4339,0,0.28
9921,0,0.18
6966,1,0.26
10939,1,0.24
5141,1,0.37
7315,1,0.31
2369,1,0.25
6265,0,0.12
2330,0,0.08
9875,0,0.45
11707,1,0.0
9097,0,0.1
5310,1,0.52
741,1,0.05
3901,0,0.06
994,1,0.03
6644,0,0.2
1378,1,0.3
7944,1,0.26
2076,1,0.13
1495,0,0.34
7961,1,0.25
1221,1,0.67
5054,1,0.5
4148,1,0.21
5154,1,0.52
3911,1,0.43
586,0,0.36
878,0,0.44
114,0,1.0
944,0,0.44
6190,1,0.38
1504,1,0.31
7107,1,0.36
8119,0,0.15
11902,1,0.21
6280,1,0.2
8992,0,0.33
6769,1,0.14
832,0,0.26
1094,0,0.3
5707,1,0.31
7575,0,0.12
9983,0,0.35
8834,1,0.42
1202,1,0.48
9349,1,0.55
8816,1,0.16
7667,1,0.26
9521,1,0.14
10883,1,0.44
9256,1,0.34
752,1,0.36
11600,1,0.24
601,0,0.58
11534,0,0.5
7022,1,0.2
2975,1,0.52
8677,1,0.01
7081,1,0.29
11418,0,0.68
10055,1,0.32
9813,1,0.17
11599,0,0.33
5283,0,0.35
1083,1,0.29
814,1,0.26
2989,0,0.37
2890,1,0.35
10433,1,0.53
2512,1,0.04
1927,1,0.3
4415,1,0.24
609,1,0.54
3408,1,0.68
3938,1,0.35
8332,1,0.22
9289,0,0.17
11423,1,0.5
6600,1,0.34
1692,1,0.24
10313,1,0.45
1597,1,0.37
3897,1,0.18
10192,1,0.43
9340,0,0.68
1386,1,0.22
7335,1,0.6
10132,1,0.41
6932,1,0.51
96,1,0.38
4950,1,0.38
5853,0,0.29
6532,1,0.4
3050,1,0.27
11691,0,0.22
2873,1,0.29
11723,0,0.57
6761,1,0.15
2121,1,0.36
7112,1,0.14
6291,1,0.56
7674,0,0.14
4445,1,0.0
2341,1,0.23
4633,1,0.32
23,1,0.06
11833,0,0.22
10679,0,0.0
1118,1,0.22
10103,1,0.32
3803,1,0.0
10201,1,0.23
5777,1,0.44
5934,1,0.4
10124,1,0.26
5719,1,0.0
1725,1,0.38
3968,1,0.17
2688,1,0.46
1904,1,0.59
4809,1,0.32
3611,1,0.37
10633,1,0.35
3136,1,0.25
5611,1,0.27
7096,1,0.44
10492,1,0.39
4361,1,0.24
269,1,0.08
8643,1,0.22
9131,1,0.28
3777,0,0.11
8430,1,0.15
5404,1,0.59
7930,1,0.41
6141,1,0.34
1818,1,0.2
2763,1,0.56
6991,0,0.62
10662,0,0.25
12023,1,0.18
5924,1,0.21
1650,1,0.32
1851,0,0.31
7,1,0.6
6526,1,0.1
2172,1,0.32
6848,1,0.42
5386,0,0.56
6985,1,0.23
3972,0,0.23
12002,1,0.19
7436,1,0.0
4893,1,0.13
4869,0,0.01
9100,1,0.27
6440,1,0.27
6042,1,0.4
9475,1,0.0
529,1,0.26
7328,1,0.39
11883,0,0.19
8627,1,0.17
9999,1,0.45
1023,0,0.44
11553,1,0.17
1934,1,0.55
8567,1,0.3
237,1,0.41
10501,1,0.0
8568,1,0.31
5137,1,0.62
10012,1,0.49
3410,0,0.05
6782,1,0.48
6825,1,0.17
9815,1,0.35
7467,1,0.72
6841,1,0.48
5601,1,0.65
4886,1,0.28
11482,1,0.43
8090,1,0.08
551,0,0.32
4717,1,0.0
1998,1,0.45
4262,1,0.54
9847,1,0.39
240,1,0.47
10116,1,0.17
4087,1,0.0
11277,1,0.46
7313,1,0.0
2482,1,0.43
3303,1,0.27
3015,1,0.53
8411,1,0.56
5274,1,0.42
6080,1,0.11
11253,0,0.25
9317,0,0.58
9716,0,0.77
10796,1,0.32
4322,0,0.41
8185,0,0.24
3450,0,0.4
7232,1,0.37
10071,0,0.19
5259,1,0.43
3026,1,0.0
3805,1,0.27
11589,1,0.35
9178,1,0.4
8375,1,0.31
8145,1,0.32
11840,1,0.56
11380,0,0.3
11711,0,0.18
11860,0,0.42
1655,1,0.02
6983,0,0.2
1590,1,0.56
5558,1,0.34
11609,0,0.33
7622,1,0.26
4375,1,0.37
1517,0,0.36
421,0,0.07
9455,1,0.19
8799,1,0.26
3836,0,0.41
1674,0,0.07
